product_id,date,units_sold,price,cost_price,discount_applied,current_stock
P007,2023-06-19,4,17.285473182012048,7.699396003802714,0.0005795742874515564,180
P020,2023-06-25,5,61.94544639615966,44.74968064116042,0.2177313140873332,104
P015,2023-12-02,2,94.26163490264828,47.25175443673568,0.19711955475988363,103
P011,2023-08-03,4,88.00222135594555,43.96341009388667,0.21969125766583975,191
P008,2023-01-12,3,98.43210306929842,62.61781723455869,0.10662162202870067,172
P007,2023-11-30,7,57.50506338051466,24.61488241812525,0.24614893339735652,176
P019,2023-04-01,4,80.91378445939901,33.216653219253786,0.013412079425658585,146
P011,2023-07-30,5,85.63602983404064,43.195795361060114,0.22662933018660825,123
P011,2023-03-02,4,68.32284915977756,42.03406290656153,0.08012158240472632,198
P004,2023-01-13,5,40.48749137930565,30.893840796926437,0.14305133245742147,80
P008,2023-04-24,4,52.2980591192015,38.62599040411711,0.24679088146716616,192
P003,2023-10-12,6,87.2125365019211,51.99424651600686,0.0814077105573411,36
P002,2023-04-12,9,36.869313338394754,15.294157961476948,0.05556225349316805,120
P012,2023-03-22,3,93.13688181399837,57.19546099991511,0.20439395560436527,69
P006,2023-03-19,8,30.68257072803986,20.923004628623612,0.16001846745204135,153
P002,2023-07-08,5,77.45647736411026,41.490786920137836,0.15432116062385534,129
P001,2023-12-23,1,66.75033109111645,29.66553734289599,0.07703085466137395,58
P012,2023-06-17,3,77.46394970086861,39.617169446506296,0.010464091746008297,117
P012,2023-07-23,5,49.36128151893353,34.97915866992142,0.12308074149951505,132
P017,2023-11-11,4,93.93769562985861,50.773092735502004,0.03196784414033039,36
P010,2023-07-15,6,66.92249821703297,48.50493123188447,0.27179674519476066,30
P016,2023-03-09,5,35.94662240988306,18.97293575594562,0.012375097041519156,98
P015,2023-04-20,5,67.46095635869293,31.397814266948746,0.1294952562553144,93
P015,2023-04-24,4,35.8134172486328,20.56905456201031,0.015673675110248364,175
P019,2023-05-26,9,36.426915258388675,21.160752236429683,0.028663162369429895,5
P012,2023-06-05,6,45.96386604587811,18.681704818207027,0.19766000007660658,14
P020,2023-10-19,7,86.71873758122071,38.7474954105662,0.19413337829222835,142
P003,2023-05-08,3,55.02680869545928,26.08107894131361,0.009915658463831934,188
P005,2023-06-20,2,71.10107580071866,31.670902505464046,0.0003394425362610587,15
P019,2023-08-17,3,45.27709662470167,24.296162296563967,0.0236454231728352,19
P007,2023-05-18,2,33.72448958261933,26.502361211212783,0.22889966931358263,76
P009,2023-11-02,7,95.91761446446083,57.90441022893265,0.17537294182545213,43
P007,2023-08-03,2,64.32231224107564,41.87526670290051,0.011435473556547482,169
P018,2023-04-18,5,94.05562047244464,51.03030873516706,0.14642910476184817,45
P004,2023-09-18,5,28.307170197848354,14.985677329440758,0.2136088071163354,94
P014,2023-07-12,7,23.22047475216395,9.503181514004199,0.2606854183802419,161
P018,2023-07-15,5,87.02406164115132,52.22605141353763,0.2802109471977031,63
P009,2023-06-25,6,71.28254913555264,42.302172768689644,0.09823216888622,156
P002,2023-07-01,7,26.79206493282772,12.408270398827089,0.04074972852397971,130
P020,2023-10-07,3,34.2423730597184,24.165856245317055,0.07107777621943424,8
P015,2023-02-07,6,82.05975473727801,48.99539577918064,0.2328514476120671,152
P007,2023-05-03,8,50.84817579963425,27.234160315770357,0.2914452645126932,41
P012,2023-01-28,3,70.34864558554818,32.273395343904646,0.13991808520811416,173
P008,2023-10-02,6,38.65168199224098,23.99745067395894,0.09160596406433692,72
P015,2023-04-10,5,44.310695749738905,31.067416779193366,0.12875717458801034,83
P003,2023-11-24,3,99.16413027607945,50.85134032940083,0.09144394339353973,58
P014,2023-07-12,4,32.28553784572467,15.739772465594294,0.07694625696214628,20
P017,2023-10-20,6,55.58107393328626,33.83631190373065,0.17812522572215386,149
P004,2023-12-24,6,85.9962108871479,39.74205851588213,0.00472079411206332,156
P018,2023-11-03,7,31.530089229927217,21.019387516443597,0.07786567459949645,62
P008,2023-11-13,6,47.369238101589765,30.41756181878408,0.19841462335349672,72
P004,2023-05-29,5,65.35821586329894,28.419897303325612,0.009618808892041508,60
P002,2023-07-21,2,53.306933632759225,22.101489229074126,0.024960544952680495,63
P006,2023-04-03,5,51.35520399132857,33.28410171140868,0.08801884343573543,68
P010,2023-03-13,9,42.625875818991126,22.068162273334973,0.26334143958269546,167
P004,2023-07-04,3,62.79816949974326,27.290721824023723,0.22946584804958886,128
P018,2023-08-06,9,66.19354281312494,46.58512772327126,0.0066469888248730565,105
P012,2023-05-04,2,68.79605868112263,36.160419336471655,0.15051384500654755,64
P002,2023-07-27,1,16.33312971154264,9.53593150846013,0.08240624819622502,121
P010,2023-11-20,4,66.7930758140844,33.04421585250371,0.19459369771861887,61
P004,2023-07-23,3,95.79134609031095,62.353157380664584,0.21646616477803834,181
P014,2023-09-21,4,58.68876119752753,30.553097124032217,0.25885877313878475,102
